datetime,Ne1_flux_twr_LE,Ne1_ref_ET
1/1/08,4.708695652,13.31018519
1/2/08,0.7125,10.64814815
1/3/08,13.7,15.97222222
1/4/08,4.279166667,15.97222222
1/5/08,2.233333333,13.31018519
1/6/08,-2.266666667,15.97222222
1/7/08,13.95909091,15.97222222
1/8/08,12.90416667,23.9583344
1/9/08,8.0125,23.9583344
1/10/08,6.6,15.97222222
1/11/08,-0.378947368,18.63425926
1/12/08,5.675,15.97222222
1/13/08,2.795833333,18.63425926
1/14/08,4.2875,13.31018519
1/15/08,7.970833333,15.97222222
1/16/08,12.82105263,18.63425926
1/17/08,2.783333333,13.31018519
1/18/08,6.877272727,13.31018519
1/19/08,3.075,10.64814815
1/20/08,7.765,13.31018519
1/21/08,7.128571429,15.97222222
1/22/08,4.886666667,15.97222222
1/23/08,4.984615385,15.97222222
1/24/08,3.929411765,13.31018519
1/25/08,12.68695652,18.63425926
1/26/08,13.49166667,23.9583344
1/27/08,0.065217391,23.9583344
1/28/08,-4.018181818,23.9583344
1/29/08,27.36818182,42.59259259
1/30/08,18.75416667,13.31018519
1/31/08,13.825,15.97222222
2/1/08,15.29545455,15.97222222
2/2/08,14,18.63425926
2/3/08,2.573913043,18.63425926
2/4/08,13.79411765,18.63425926
2/5/08,9.00952381,21.2962963
2/6/08,10.29,18.63425926
2/7/08,8.133333333,18.63425926
2/8/08,13.66666667,23.9583344
2/9/08,39.89583333,26.62037037
2/10/08,33.40416667,18.63425926
2/11/08,25.34583333,15.97222222
2/12/08,17.725,15.97222222
2/13/08,21.92083333,21.2962963
2/14/08,18.91666667,23.9583344
2/15/08,29.37916667,29.28240741
2/16/08,25.51363636,26.62037037
2/17/08,51.47727273,31.94444444
2/18/08,37.32083333,23.9583344
2/19/08,28.5,23.9583344
2/20/08,25.575,21.2962963
2/21/08,10.875,13.31018519
2/22/08,22.07083333,21.2962963
2/23/08,30.11666667,23.9583344
2/24/08,24.9625,47.91666933
2/25/08,29.23888889,29.28240741
2/26/08,35.86190476,34.60648414
2/27/08,48.35454545,29.28240741
2/28/08,20.86521739,37.26851852
2/29/08,51.00833333,45.25462963
3/1/08,48.7625,58.56481481
3/2/08,34.275,66.55092593
3/3/08,73.74782609,42.59259259
3/4/08,44.96666667,29.28240741
3/5/08,43.43478261,26.62037037
3/6/08,47.39166667,55.90278044
3/7/08,47.28571429,31.94444444
3/8/08,34.16666667,26.62037037
3/9/08,30.96086957,26.62037037
3/10/08,34.31666667,42.59259259
3/11/08,41.01666667,69.21296562
3/12/08,40.38695652,82.52315081
3/13/08,46.16666667,79.86111111
3/14/08,46.275,45.25462963
3/15/08,33.59583333,45.25462963
3/16/08,22.84166667,45.25462963
3/17/08,21.78461538,21.2962963
3/18/08,96.255,47.91666933
3/19/08,50.75833333,61.22685185
3/20/08,69.08695652,82.52315081
3/21/08,32.30416667,74.53703704
3/22/08,19.52083333,58.56481481
3/23/08,29.28333333,42.59259259
3/24/08,30.04583333,77.19907407
3/25/08,33.44166667,87.84722222
3/26/08,21.31666667,77.19907407
3/27/08,16.96190476,45.25462963
3/28/08,22.27916667,61.22685185
3/29/08,19.425,69.21296562
3/30/08,22.61904762,37.26851852
3/31/08,36.4,26.62037037
4/1/08,54.25,55.90278044
4/2/08,59.3826087,55.90278044
4/3/08,15.25714286,37.26851852
4/4/08,131.9111111,85.18518519
4/5/08,70.625,109.1435185
4/6/08,54.10833333,101.1574074
4/7/08,7.628571429,66.55092593
4/8/08,35.33043478,53.24074074
4/9/08,39.82142857,69.21296562
4/10/08,7.54,31.94444444
4/11/08,63.28823529,45.25462963
4/12/08,51.95833333,47.91666933
4/13/08,69.5875,79.86111111
4/14/08,47.16875,90.50925926
4/15/08,39.43333333,127.7777778
4/16/08,19.8,117.1296296
4/17/08,-7.7,47.91666933
4/18/08,34.28461538,45.25462963
4/19/08,98.67916667,95.833336
4/20/08,77.17894737,114.4675926
4/21/08,28.54782609,90.50925926
4/22/08,38.5125,125.1157487
4/23/08,34.18125,133.1018519
4/24/08,4.318181818,130.4398148
4/25/08,101.175,90.50925926
4/26/08,57.18421053,79.86111111
4/27/08,101.0947368,98.49537037
4/28/08,34.99583333,90.50925926
4/29/08,41.15217391,98.49537037
4/30/08,31.46666667,106.4814815
5/1/08,19.6625,151.7361191
5/2/08,136.65,69.21296562
5/3/08,142.4916667,119.7916667
5/4/08,72.67826087,133.1018519
5/5/08,31.78095238,138.4259339
5/6/08,39.45,143.75
5/7/08,93.73043478,125.1157487
5/8/08,91.33636364,109.1435185
5/9/08,76.33809524,77.19907407
5/12/08,83.2,133.1018519
5/13/08,27.91176471,79.86111111
5/14/08,27.32916667,111.8055635
5/15/08,24.5,98.49537037
5/16/08,19.85416667,151.7361191
5/17/08,23.275,181.0185185
5/18/08,27.90833333,146.412037
5/19/08,21.2,167.7083333
5/20/08,21.79583333,146.412037
5/21/08,20.92083333,130.4398148
5/22/08,116.83,77.19907407
5/23/08,54.12,103.8194444
5/24/08,88.30454545,135.7638889
5/25/08,74.97083333,173.0324074
5/26/08,47.3375,130.4398148
5/27/08,53.14117647,53.24074074
5/28/08,74.63157895,98.49537037
5/29/08,35.75833333,149.0740741
5/30/08,172.8764706,157.0601852
5/31/08,97.96666667,125.1157487
6/1/08,57.79166667,146.412037
6/2/08,67.76521739,146.412037
6/3/08,44.42083333,146.412037
6/4/08,53.82272727,149.0740741
6/5/08,108.655,151.7361191
6/6/08,159.0458333,162.3842593
6/7/08,98.6,157.0601852
6/8/08,80.33333333,98.49537037
6/9/08,140.8333333,167.7083333
6/10/08,104.2125,170.3703704
6/11/08,78.29047619,154.3981481
6/12/08,184.8190476,149.0740741
6/13/08,116.6291667,170.3703704
6/14/08,97.47083333,175.6944444
6/15/08,173.9,135.7638889
6/16/08,125.8391304,125.1157487
6/17/08,100.0583333,119.7916667
6/18/08,110.9125,138.4259339
6/19/08,106.86,127.7777778
6/20/08,139.5863636,157.0601852
6/21/08,166.4608696,151.7361191
6/22/08,142.6708333,154.3981481
6/23/08,127.0875,146.412037
6/24/08,33.28461538,87.84722222
6/25/08,144.5789474,157.0601852
6/26/08,79.41904762,117.1296296
6/27/08,124.2227273,141.087963
6/28/08,166.0625,154.3981481
6/29/08,156.5958333,143.75
6/30/08,166.6166667,146.412037
7/1/08,166.9826087,167.7083333
7/2/08,167.3954545,167.7083333
7/3/08,135.8041667,122.4537037
7/4/08,122.0956522,143.75
7/5/08,134.9428571,141.087963
7/6/08,78.39090909,170.3703704
7/7/08,106.2333333,159.7222222
7/8/08,141.9105263,149.0740741
7/9/08,116.0473684,165.0463043
7/10/08,160.2666667,167.7083333
7/11/08,165.9,183.6805556
7/12/08,144.155,138.4259339
7/13/08,203.3071429,162.3842593
7/14/08,164.73,181.0185185
7/15/08,184.4473684,157.0601852
7/16/08,152.185,167.7083333
7/17/08,161.32,143.75
7/18/08,152.2888889,122.4537037
7/19/08,161.5227273,165.0463043
7/20/08,116.5681818,157.0601852
7/21/08,123.1875,143.75
7/22/08,174.4636364,151.7361191
7/23/08,101.4791667,143.75
7/24/08,68.38947368,133.1018519
7/25/08,158.0615385,149.0740741
7/26/08,163.3363636,119.7916667
7/27/08,256.4545455,162.3842593
7/28/08,158.8434783,159.7222222
7/29/08,64.6,122.4537037
7/30/08,139.2,146.412037
7/31/08,185.6117647,159.7222222
8/1/08,181.0958333,149.0740741
8/2/08,146.9291667,130.4398148
8/3/08,193.7782609,173.0324074
8/4/08,97.17894737,138.4259339
8/5/08,81.20833333,122.4537037
8/6/08,126.53,101.1574074
8/7/08,186.4952381,122.4537037
8/8/08,157.1272727,133.1018519
8/9/08,102.5913043,87.84722222
8/10/08,172.5294118,111.8055635
8/11/08,78.49047619,103.8194444
8/12/08,139.9666667,130.4398148
